ID,Korean,Dec
1074,확인,Подтверждать
1075,일일,День
1076,업적,Достижения
1077,기타,Так далее
1078,보상,Награда
1079,공지사항,Уведомление
1080,계속,Продолжать
1081,이곳을 눌러 입력,"Нажмите здесь, чтобы войти"
1082,최종순위,Окончательный ранг
1083,시즌 보상:,Сезонная награда:
1084,스킵,Пропускать
1085,예,да
1086,아니오,Нет
1087,터치 하면 게임 시작,"Нажмите, чтобы начать игру"
1088,평점,Оценка
1089,경기진행,Соответствие прогресса
1090,버전확인,Проверьте версию
1091,업데이트하러 가기,Перейти к обновлению
1092,다시확인,Проверьте еще раз
1093,팀정보를 불러오지 못했습니다.{다시 시도해보세요.,Не удалось загрузить информацию команды. {Попробуйте снова
1094,이곳을 눌러 찾을 팀이름 입력,"Нажмите здесь, чтобы войти в команде имя, чтобы найти"
1095,밴플레이어,Запретить игроку
1096,전달,Реле
1097,전송,послать
1098,문의하기,Свяжитесь с нами
1099,버그/건의,Ошибка / предложения
1100,게임 종료,Выездная игра
1101,초대링크,Пригласительная ссылка
1102,모의경기,Матч симуляции
1103,전략복사,Стратегическая копия
1104,신고,Отчет
1105,<이벤트>,<Event>
1106,스폰서의 특급이벤트!{{지금 스폰서광고를 보시면 보상을 +50%를 추가로 드립니다!,"Экспресс-мероприятие Спонсор! {{Проверьте спонсируемую рекламу теперь, чтобы получить дополнительные награды + 50%."
1107,영입시장으로 가기,Перейти на рынок найма
1108,<리뷰 이벤트>,<Сообщение обзора>
1109,게임을 해주셔서 감사합니다.{{리뷰를 해주시면 개발자에게 큰힘이 됩니다. 보상으로 정수 300개를 드립니다.,Спасибо за игру. {{Это отличная помощь для разработчиков. Вы получите 300 сущность как награду.
1110,리뷰하러 가기,Перейти к пересмотру
1111,답변을 받으실 메일을 적어주세요.,"Пожалуйста, напишите письмо на ответ."
1112,(언어 변경 시 재시작 필요),(Требует перезапуска при смене языка)
1113,이벤트,Событие
1114,포인트,Точка
1115,친구요청,Запрос в друзья
1116,친구추가,Добавить друга
1117,친구 목록,Список друзей
1118,찾기,Найти
1119,아니요,Нет
1120,멀티대전정보,Multimatch Info.
1121,친구 추가,Добавить друга
1122,라인전{운영,Линия {операция
1123,밸런스,Уравновешенный
1124,커스텀,Обычай
1125,탑,Вершина
1126,정글,Вершина
1127,미드,Джунгли
1128,원딜,Середина
1129,서폿,ОБЪЯВЛЕНИЕ
1130,중심,Центр
1131,갱킹,Ума
1132,메인오더,Основной заказ
1133,한정,Ограничено
1134,레벨,Леготь
1135,팀,Команда
1136,당신의 팀이름을 정해주세요{(최대 5글자),"Пожалуйста, укажите имя вашей команды {(до 5 символов)"
1137,보낸이,Из
1138,내용,Содержание
1139,첨부,Вложение
1140,쪽지 목록,Список сообщений
1141,받는이:,К:
1142,첨부종류:,Тип крепления:
1143,상세:,Деталь:
1144,전송 비용:,Стоимость передачи:
1145,(아이템 가격 + 기본 수수료 100 + 첨부아이템 가격의 5%),(Цена товара + базовая плата 100 + 5% от прилагаемой цены товара)
1146,쪽지보내기,Послать сообщение
1147,첼린저,Претендент
1148,마스터,Владелец
1149,다이아,Алмаз
1150,플레티넘,Платина
1151,골드,Золото
1152,실버,Серебро
1153,브론즈,Бронза
1154,<시즌 보상정보>,<Сезонная информация о вознаграждении>
1155,시즌 보상정보,Сезонная награда информация
1156,등급상승 보상,Награда на модернизацию класса
1157,명예의 전당 헌액,Зал вклада славы
1158,시즌보상카드 증정,Сезон награда карты
1159,다이아 패키지,Алмазный пакет
1160,플레티넘 패키지,Platinum Package.
1161,골드 패키지,Золотая пакет
1162,실버 패키지,Серебряная пакет
1163,모든선수 패키지,Все пакет игрока
1164,다이아 영입,Алмазный набор
1165,첼린저 영입,Подбор персонала
1166,모든한정포함 첼린저 영입,Все - включить ограниченный набор
1167,보낸날짜,Отправляется дата
1168,보상정보,Награды Info.
1169,모든팀에게 승리 시,Победа всем командам
1170,상세보기,Посмотреть детали
1171,연습{경기,Практика {матч
1172,대전,Соответствовать
1173,멀티 시즌성적,Многосезонные результаты
1174,새로운 시즌 시작,Новое начало сезона
1175,평균 선수 종합:,AVG Player Всего:
1176,이곳을 눌러{선수 이름 입력,"Нажмите здесь, чтобы имя игрока введите"
1177,시즌,Сезон
1178,영입정보,Информация о наборе
1179,검색,Самолет
1180,난이도,Затруднение
1181,대표팀,Известная команда
1191,새로운 리그 시작,Старт Новой лиги
1192,<선수 등급 정보>,<Информация о скорости игрока>
1193,토너먼트,Турнир
1194,우승,Чемпион
1195,승자조,Кронштейн победителя
1196,패자조,Braket проигравшего
1197,시즌보상정보,Сезон награда Информация
1198,격전보상정보,Давить наградунную информацию
1199,재시도,Повторение
1200,※ 격전 토너먼트를 마지막까지 진행하지 않으면 보상을 받을 수 없습니다.,"※ Если вы не переходите к финальному турниру, вы не будете вознаграждены."
1201,랭크,Классифицировать
1202,격전,Раздавить
1203,팀정보,Информация о команде
1204,다음경기,Следующий матч
1205,팀 능력,Статистика команды
1206,선수 능력,Статистика игрока
1207,<시즌보상선수>,<Seasone Reward Player>
1208,추가경험치,Добавить эксп
1209,경기 자동,Автоматический матч
1210,아이템,Элемент
1211,사용중인 아이템,Предметы в использовании
1212,경기 아이템,Соответствующие предметы
1213,사용,Использовать
1214,개수,Считать
1215,자동,Авто
1216,추가경험치,Addexp.
1217,※ 보상은 시즌 10전 이상 이여만 받을 수 있습니다.,※ Награды могут быть получены только к 10 и более сезонам.
1218,언어설정,Установка языка
1219,리셋,Перезагрузить
1220,재시작,Перезагрузить
